# STEP 1 FLIP_AND_CENTER START host=1788096343.294 t_us=-
IMU,462573937,5.187500,-4.875000,-9.125000,0.219238,-0.782715,0.481445
IMU,462578937,3.187500,-7.000000,-10.000000,0.230713,-0.786377,0.475830
IMU,462583937,1.562500,-8.000000,-10.000000,0.243164,-0.790527,0.467529
IMU,462587937,1.000000,-8.812500,-9.000000,0.253906,-0.788330,0.457520
IMU,462592937,2.000000,-11.312500,-6.312500,0.257568,-0.786133,0.444824
IMU,462596937,6.437500,-13.812500,-3.625000,0.258057,-0.785645,0.440430
IMU,462601937,11.250000,-16.375000,0.125000,0.258057,-0.788330,0.443359
IMU,462605937,12.875000,-17.000000,3.062500,0.259277,-0.790771,0.452148
IMU,462610937,13.125000,-16.312500,4.312500,0.259033,-0.792236,0.460449
IMU,462615961,11.187500,-12.125000,6.312500,0.257080,-0.793213,0.466064
IMU,462619966,9.437500,-10.000000,9.125000,0.251465,-0.790039,0.464844
IMU,462624945,8.000000,-7.250000,10.750000,0.243164,-0.785645,0.457275
IMU,462628936,8.125000,-2.937500,12.312500,0.229736,-0.784668,0.452148
IMU,462633934,10.062500,-1.312500,13.500000,0.214844,-0.781982,0.451660
IMU,462637934,12.500000,-4.250000,12.687500,0.198975,-0.778320,0.456299
IMU,462642934,14.750000,-6.437500,9.500000,0.188721,-0.780762,0.462158
IMU,462647934,15.125000,-4.625000,7.312500,0.184814,-0.780762,0.470947
IMU,462651934,14.500000,-0.250000,4.250000,0.179443,-0.772705,0.475342
IMU,462656934,13.437500,6.125000,1.187500,0.175781,-0.770508,0.479248
IMU,462660934,11.062500,10.062500,-2.187500,0.177490,-0.774658,0.480469
IMU,462665934,8.875000,11.000000,-4.687500,0.186279,-0.779297,0.477051
IMU,462669934,8.312500,9.625000,-7.312500,0.193359,-0.780273,0.467529
IMU,462674934,9.125000,7.687500,-8.312500,0.202637,-0.778809,0.459717
IMU,462678934,11.000000,6.375000,-9.562500,0.210449,-0.777588,0.456787
IMU,462683934,12.875000,4.750000,-8.750000,0.217529,-0.779297,0.461426
