21240
IMU,6905661910,7.812500,5.062500,1.187500,0.064453,0.073486,-1.021484
IMU,6905665909,7.562500,5.250000,0.375000,0.066162,0.073242,-1.022949
IMU,6905670910,7.062500,5.625000,0.125000,0.064941,0.072998,-1.023682
IMU,6905675908,7.562500,5.375000,0.312500,0.064453,0.072998,-1.022217
IMU,6905679911,8.000000,5.625000,0.375000,0.065430,0.074219,-1.020508
IMU,6905684908,7.375000,5.625000,0.250000,0.064209,0.072754,-1.020020
IMU,6905688910,7.937500,5.312500,0.812500,0.064209,0.073975,-1.017578
IMU,6905693909,8.000000,4.875000,0.187500,0.064941,0.073486,-1.017090
IMU,6905697910,8.187500,5.562500,0.375000,0.063477,0.073730,-1.019775
IMU,6905702908,7.750000,5.687500,0.062500,0.061523,0.074463,-1.020996
IMU,6905707911,7.500000,5.687500,0.062500,0.062256,0.074951,-1.021973
IMU,6905711908,7.562500,5.375000,-0.062500,0.061523,0.073730,-1.024170
IMU,6905716910,7.125000,5.062500,-0.250000,0.060791,0.072998,-1.023438
IMU,6905720909,7.187500,4.562500,0.687500,0.061768,0.074463,-1.021240
IMU,6905725910,7.625000,4.312500,0.250000,0.062012,0.076660,-1.021484
IMU,6905729908,8.250000,4.875000,0.875000,0.063477,0.076416,-1.018799
IMU,6905734911,8.312500,4.687500,0.687500,0.064941,0.077148,-1.018799
IMU,6905739908,7.937500,4.687500,1.187500,0.064453,0.076416,-1.018311
IMU,6905743910,8.250000,4.687500,0.687500,0.064209,0.076660,-1.016602
IMU,6905748909,7.937500,4.250000,1.312500,0.063721,0.076660,-1.018799
IMU,6905752910,7.375000,4.375000,0.875000,0.064697,0.077393,-1.022217
IMU,6905757908,8.125000,4.187500,0.750000,0.065918,0.077148,-1.022461
IMU,6905761911,7.562500,4.062500,-0.187500,0.066895,0.078613,-1.021729
IMU,6905766908,6.375000,4.625000,0.125000,0.064941,0.078369,-1.020264
IMU,6905770910,6.937500,4.625000,0.687500,0.064941,0.077148,-1.014893
IMU,6905775909,6.750000,4.750000,0.125000,0.065430,0.077148,-1.014893
IMU,6905780910,7.562500,5.062500,0.125000,0.065430,0.076416,-1.016357
IMU,6905784908,8.125000,4.812500,0.562500,0.065674,0.077148,-1.018066
IMU,6905789911,7.562500,5.187500,0.187500,0.066406,0.076660,-1.021240
IMU,6905793908,7.625000,5.187500,1.125000,0.064697,0.076416,-1.022461
IMU,6905798910,7.375000,4.750000,1.000000,0.065430,0.076416,-1.024170
IMU,6905802909,7.125000,5.125000,0.437500,0.068115,0.075928,-1.024414
IMU,6905807910,6.500000,4.687500,0.312500,0.070557,0.074463,-1.026855
IMU,6905812908,7.937500,4.562500,-0.625000,0.071533,0.073975,-1.025391
IMU,6905816911,7.750000,4.375000,-0.312500,0.070312,0.074707,-1.011475
IMU,6905821908,7.062500,4.437500,0.250000,0.063965,0.074463,-1.003906
IMU,6905825910,6.875000,4.500000,0.312500,0.061523,0.074707,-1.008545
IMU,6905830909,6.937500,5.500000,0.687500,0.060059,0.073730,-1.015625
