IMU,9314909,7.125000,5.500000,0.625000,0.057129,0.072510,-1.019531
IMU,9319910,6.500000,4.937500,1.062500,0.057373,0.072510,-1.019287
IMU,9323907,6.125000,5.187500,0.875000,0.056396,0.071777,-1.018555
IMU,9328911,5.937500,5.375000,-0.187500,0.056885,0.072998,-1.017090
IMU,9332907,6.812500,5.250000,0.000000,0.056396,0.073975,-1.017334
IMU,9337910,7.000000,5.437500,-0.500000,0.057617,0.072510,-1.019287
IMU,9341909,7.250000,5.125000,-0.375000,0.056885,0.071533,-1.018311
IMU,9346910,6.812500,5.375000,-0.375000,0.058105,0.072510,-1.018066
IMU,9351907,6.062500,5.812500,0.062500,0.057861,0.072266,-1.018799
IMU,9355911,6.125000,5.000000,0.500000,0.057129,0.072754,-1.018799
IMU,9360907,6.687500,5.062500,-0.062500,0.056152,0.074463,-1.019775
IMU,9364910,6.187500,5.312500,0.062500,0.054688,0.074219,-1.018799
IMU,9369909,6.062500,6.000000,0.250000,0.055176,0.074219,-1.018799
IMU,9373910,5.812500,5.625000,-0.562500,0.053955,0.074707,-1.018799
IMU,9378907,5.750000,5.562500,-0.625000,0.053955,0.074951,-1.017822
IMU,9383911,6.437500,6.437500,-0.562500,0.053711,0.073975,-1.018066
IMU,9387907,6.312500,6.062500,0.250000,0.052246,0.073730,-1.017822
IMU,9392910,5.750000,5.500000,0.375000,0.053955,0.073486,-1.017578
IMU,9396909,5.687500,5.437500,0.250000,0.053223,0.073486,-1.017822
IMU,9401910,6.125000,5.375000,-0.250000,0.053711,0.072510,-1.018555
IMU,9405907,6.687500,5.000000,0.812500,0.053955,0.070557,-1.017822
IMU,9410911,7.000000,4.625000,0.937500,0.053955,0.071045,-1.019043
IMU,9414907,6.562500,4.937500,0.937500,0.051758,0.070312,-1.020020
IMU,9419910,5.812500,6.000000,1.375000,0.052002,0.070068,-1.020264
IMU,9424909,6.062500,6.375000,1.687500,0.052246,0.068359,-1.020264
IMU,9428910,6.812500,5.437500,1.000000,0.051514,0.065674,-1.018066
IMU,9433907,6.500000,5.312500,1.000000,0.052734,0.065186,-1.021973
IMU,9437911,5.812500,5.500000,1.312500,0.054443,0.061035,-1.020752
IMU,9442907,6.375000,5.375000,0.250000,0.056396,0.064941,-1.019043
IMU,9446910,6.875000,5.562500,0.750000,0.055420,0.069336,-1.017578
IMU,9451909,6.000000,5.625000,0.875000,0.052979,0.074707,-1.016602
IMU,9456910,6.250000,5.437500,0.375000,0.052246,0.083496,-1.018311
IMU,9460907,5.687500,6.250000,0.187500,0.052979,0.083984,-1.016357
IMU,9465911,5.437500,5.750000,-0.187500,0.052979,0.087646,-1.013672
IMU,9469907,6.187500,5.187500,-0.062500,0.054199,0.090088,-1.012695
IMU,9474910,7.187500,4.750000,0.437500,0.056641,0.089355,-1.012939
IMU,9478909,8.250000,5.000000,-0.687500,0.058594,0.088623,-1.014160
IMU,9483910,7.250000,5.062500,-1.250000,0.063477,0.081055,-1.014160
IMU,9487907,6.750000,5.687500,-0.250000,0.066895,0.073242,-1.015381
IMU,9492911,7.000000,5.812500,-0.812500,0.069092,0.069092,-1.017334
IMU,9497907,7.000000,5.500000,-0.875000,0.071533,0.063721,-1.019531
IMU,9501910,7.500000,5.812500,-0.312500,0.072266,0.061768,-1.018066
IMU,9506909,8.687500,5.125000,-0.750000,0.072510,0.058838,-1.016357
IMU,9510910,7.500000,5.000000,-0.375000,0.070068,0.060791,-1.018066
IMU,9515907,6.125000,5.812500,0.812500,0.064697,0.064209,-1.018066
IMU,9519911,7.000000,6.875000,0.937500,0.060059,0.067627,-1.017334
IMU,9524907,6.937500,6.062500,0.250000,0.055176,0.074707,-1.017334
IMU,9529910,7.000000,5.875000,-0.687500,0.051025,0.080566,-1.014160
IMU,9533909,8.187500,5.812500,-0.500000,0.046143,0.083008,-1.011475
IMU,9538910,8.062500,6.000000,0.187500,0.043701,0.084473,-1.011475
IMU,9542907,7.687500,5.187500,0.625000,0.042969,0.083984,-1.014160
IMU,9547911,7.625000,4.875000,-0.062500,0.042480,0.085693,-1.015381
IMU,9551907,7.812500,4.937500,0.437500,0.042725,0.082764,-1.018799
IMU,9556910,7.187500,5.437500,1.062500,0.045166,0.077881,-1.022461
IMU,9560909,6.625000,5.437500,-0.312500,0.048340,0.073242,-1.024170
IMU,9565910,6.687500,5.750000,0.062500,0.051514,0.068359,-1.028320
IMU,9570907,7.062500,5.812500,-0.750000,0.053955,0.062744,-1.027100
IMU,9574911,7.062500,5.625000,-0.437500,0.055908,0.056641,-1.027832
IMU,9579907,6.750000,5.000000,0.375000,0.056885,0.053711,-1.022705
IMU,9583910,6.250000,5.250000,0.125000,0.057129,0.053955,-1.021973
IMU,9588909,6.500000,5.562500,0.000000,0.055908,0.054932,-1.027344
IMU,9592910,6.125000,5.187500,0.437500,0.052734,0.057373,-1.028320
IMU,9597907,6.250000,5.000000,0.312500,0.050049,0.060547,-1.024414
IMU,9602911,6.500000,5.000000,0.437500,0.049072,0.065430,-1.023193
IMU,9606907,6.437500,5.437500,-0.312500,0.045654,0.068604,-1.021729
IMU,9611910,6.937500,5.875000,1.062500,0.045166,0.072021,-1.019287
